task_id,example_id,input_shape,output_shape,shape_changed,input_obj_count,output_obj_count,obj_count_changed,detected_rules,rule_count,recolor,rotation,reflection,crop,scale_up,translation
00576224,1,2x2,6x6,True,4,36,True,None,0,False,,,False,False,False
00576224,2,2x2,6x6,True,4,30,True,None,0,False,,,False,False,False
007bbfb7,1,3x3,9x9,True,2,9,True,None,0,False,,,False,False,False
007bbfb7,2,3x3,9x9,True,3,9,True,None,0,False,,,False,False,False
007bbfb7,3,3x3,9x9,True,2,6,True,None,0,False,,,False,False,False
007bbfb7,4,3x3,9x9,True,2,7,True,None,0,False,,,False,False,False
007bbfb7,5,3x3,9x9,True,1,1,False,None,0,False,,,False,False,False
009d5c81,1,14x14,14x14,False,3,1,True,recolor,1,True,,,False,False,False
009d5c81,2,14x14,14x14,False,9,6,True,recolor,1,True,,,False,False,False
009d5c81,3,14x14,14x14,False,2,1,True,recolor,1,True,,,False,False,False
009d5c81,4,14x14,14x14,False,10,7,True,recolor,1,True,,,False,False,False
009d5c81,5,14x14,14x14,False,2,1,True,recolor,1,True,,,False,False,False
00d62c1b,1,10x10,10x10,False,5,8,True,None,0,False,,,False,False,False
00d62c1b,2,10x10,10x10,False,9,10,True,None,0,False,,,False,False,False
00d62c1b,3,10x10,10x10,False,11,13,True,None,0,False,,,False,False,False
00d62c1b,4,20x20,20x20,False,14,19,True,None,0,False,,,False,False,False
00d62c1b,5,6x6,6x6,False,6,8,True,None,0,False,,,False,False,False
00dbd492,1,15x15,15x15,False,4,6,True,None,0,False,,,False,False,False
00dbd492,2,9x9,9x9,False,2,3,True,None,0,False,,,False,False,False
00dbd492,3,13x13,13x13,False,4,6,True,None,0,False,,,False,False,False
00dbd492,4,7x7,7x7,False,2,3,True,None,0,False,,,False,False,False
017c7c7b,1,6x3,9x3,True,9,13,True,None,0,False,,,False,False,False
017c7c7b,2,6x3,9x3,True,1,1,False,None,0,False,,,False,False,False
017c7c7b,3,6x3,9x3,True,1,1,False,None,0,False,,,False,False,False
025d127b,1,8x9,8x9,False,6,4,True,None,0,False,,,False,False,False
025d127b,2,14x9,14x9,False,8,5,True,None,0,False,,,False,False,False
03560426,1,10x10,10x10,False,3,3,False,None,0,False,,,False,False,False
03560426,2,10x10,10x10,False,4,4,False,None,0,False,,,False,False,False
03560426,3,10x10,10x10,False,3,3,False,None,0,False,,,False,False,False
045e512c,1,21x21,21x21,False,4,8,True,None,0,False,,,False,False,False
045e512c,2,21x21,21x21,False,3,7,True,None,0,False,,,False,False,False
045e512c,3,21x21,21x21,False,5,12,True,None,0,False,,,False,False,False
0520fde7,1,3x7,3x3,True,5,3,True,None,0,False,,,False,False,False
0520fde7,2,3x7,3x3,True,5,1,True,None,0,False,,,False,False,False
0520fde7,3,3x7,3x3,True,5,2,True,None,0,False,,,False,False,False
05269061,1,7x7,7x7,False,12,49,True,None,0,False,,,False,False,False
05269061,2,7x7,7x7,False,6,49,True,None,0,False,,,False,False,False
05269061,3,7x7,7x7,False,15,49,True,None,0,False,,,False,False,False
05a7bcf2,1,30x30,30x30,False,6,18,True,None,0,False,,,False,False,False
05a7bcf2,2,30x30,30x30,False,6,18,True,None,0,False,,,False,False,False
05a7bcf2,3,30x30,30x30,False,5,14,True,None,0,False,,,False,False,False
05f2a901,1,9x10,9x10,False,2,2,False,None,0,False,,,False,False,False
05f2a901,2,14x9,14x9,False,2,2,False,None,0,False,,,False,False,False
05f2a901,3,11x10,11x10,False,2,2,False,None,0,False,,,False,False,False
0607ce86,1,21x22,21x22,False,67,36,True,None,0,False,,,False,False,False
0607ce86,2,23x22,23x22,False,54,24,True,None,0,False,,,False,False,False
0607ce86,3,22x22,22x22,False,55,27,True,None,0,False,,,False,False,False
0692e18c,1,3x3,9x9,True,3,6,True,None,0,False,,,False,False,False
0692e18c,2,3x3,9x9,True,1,12,True,None,0,False,,,False,False,False
0692e18c,3,3x3,9x9,True,2,8,True,None,0,False,,,False,False,False
06df4c85,1,23x23,23x23,False,9,18,True,None,0,False,,,False,False,False
06df4c85,2,20x20,20x20,False,7,12,True,None,0,False,,,False,False,False
06df4c85,3,23x23,23x23,False,7,16,True,None,0,False,,,False,False,False
070dd51e,1,20x10,20x10,False,10,8,True,None,0,False,,,False,False,False
070dd51e,2,30x20,30x20,False,10,7,True,None,0,False,,,False,False,False
08ed6ac7,1,9x9,9x9,False,4,4,False,None,0,False,,,False,False,False
08ed6ac7,2,9x9,9x9,False,4,4,False,None,0,False,,,False,False,False
09629e4f,1,11x11,11x11,False,45,5,True,None,0,False,,,False,False,False
09629e4f,2,11x11,11x11,False,45,5,True,None,0,False,,,False,False,False
09629e4f,3,11x11,11x11,False,45,5,True,None,0,False,,,False,False,False
09629e4f,4,11x11,11x11,False,45,5,True,None,0,False,,,False,False,False
0962bcdd,1,12x12,12x12,False,10,26,True,None,0,False,,,False,False,False
